coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
246070,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:95474207-946c-4d97-8eca-485c594ff4c1,"2023-07-16 05:07:11"
246088,"assumed to be collector","assumed to be year collected",,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:16126586-49c6-456d-97d7-a3d977d31792,"2023-07-16 05:07:11"
246092,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:4d457bc5-aaee-4f4a-90df-f8ea4374e243,"2023-07-16 05:07:11"
246104,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:152bb6ac-8a10-4428-ae52-8ddaa1aff29a,"2023-07-16 05:07:11"
248861,unknown,s.d.,,"Eriogonum lonchophyllum var. saurinum",1,"(Reveal) S.L.Welsh",Eriogonum,lonchophyllum,var.,saurinum,,,urn:uuid:23f39e02-a553-4c5b-a289-686f908d5ad9,"2023-07-16 05:07:11"
249649,unknown,s.d.,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,,urn:uuid:7165d94f-a926-486f-a3a8-a327795fda71,"2023-07-16 05:07:11"
250162,"UTC synonomy","20 February 2015",,"Eriogonum lonchophyllum",1,"Torr. & Gray",,,,,"FNA 5",,urn:uuid:e52760c4-f439-4668-9d00-e389c570b3db,"2015-02-20 08:33:48"
250162,unknown,"assumed to be year collected",,"Eriogonum saurinum",0,Reveal,,,,,,,urn:uuid:e01613b4-72c7-4d57-91a1-de6133f0fba8,"2015-02-20 08:33:48"
250591,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:902b4ae8-5c15-4136-bfd9-c7b758c263ac,"2023-07-16 05:07:11"
250593,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:270bb345-c70a-4b53-ba44-1f6a2e68efa7,"2023-07-16 05:07:11"
251082,unknown,s.d.,,"Eriogonum lonchophyllum var. intermontanum",1,"(Reveal) Reveal",Eriogonum,lonchophyllum,var.,intermontanum,,,urn:uuid:6026df6c-af27-47d6-9af1-0d97de09a59b,"2023-07-16 05:07:11"
257015,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:c373d3fb-1af3-427d-b890-412cc405db9b,"2023-07-16 05:07:11"
