id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
58656008,Sat Sep 05 2020 12:07:59 GMT-0600 (MDT),2020-09-05,2020-09-05 18:07:59 UTC,Mountain Time (US & Canada),153596,rosemary_smith,Rosemary J. Smith,2020-09-05 22:17:51 UTC,2021-01-25 16:29:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/58656008,https://inaturalist-open-data.s3.amazonaws.com/photos/93660584/medium.jpg,,"",,3,0,false,3,"Gunnison County, US-CO, US",38.9856853243,-106.9768087753,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
61586270,2020/07/05 1:22 PM PDT,2020-07-05,2020-07-05 20:22:00 UTC,Pacific Time (US & Canada),129985,jellyturtle,John Powers,2020-10-03 17:52:31 UTC,2022-02-25 20:25:47 UTC,research,CC-BY,https://www.inaturalist.org/observations/61586270,https://inaturalist-open-data.s3.amazonaws.com/photos/98553609/medium.jpeg,,"",,1,0,false,,"Gunnison County, CO, USA",39.0196678832,-107.0159446654,46,,,,46,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
62204949,2020/07/12 11:44 AM PDT,2020-07-12,2020-07-12 18:44:00 UTC,Pacific Time (US & Canada),129985,jellyturtle,John Powers,2020-10-10 16:00:03 UTC,2024-03-12 15:02:58 UTC,research,CC-BY,https://www.inaturalist.org/observations/62204949,https://inaturalist-open-data.s3.amazonaws.com/photos/99635183/medium.jpeg,,"",,2,0,false,,"Gunnison County, CO, USA",39.0139756248,-106.9845010183,469,,,,469,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
64546882,2020/08/23 12:42 PM PDT,2020-08-23,2020-08-23 19:42:00 UTC,Pacific Time (US & Canada),129985,jellyturtle,John Powers,2020-11-09 20:51:00 UTC,2022-02-25 20:25:47 UTC,research,CC-BY,https://www.inaturalist.org/observations/64546882,https://inaturalist-open-data.s3.amazonaws.com/photos/103778777/medium.jpg,,"",,1,0,false,,"Gunnison County, CO, USA",39.0281664722,-107.0907966944,,,,,,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
66494255,2020/08/01 2:04 PM PDT,2020-08-01,2020-08-01 21:04:00 UTC,Pacific Time (US & Canada),129985,jellyturtle,John Powers,2020-12-13 01:05:43 UTC,2022-02-25 20:25:47 UTC,research,CC-BY,https://www.inaturalist.org/observations/66494255,https://inaturalist-open-data.s3.amazonaws.com/photos/107200747/medium.jpeg,,"",,1,0,false,,"Gunnison County, CO, USA",39.0004592364,-107.0912218404,1050,,,,1050,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
67888116,2020/08/30 12:23 PM PDT,2020-08-30,2020-08-30 19:23:00 UTC,Pacific Time (US & Canada),129985,jellyturtle,John Powers,2021-01-11 02:09:20 UTC,2022-02-25 20:25:47 UTC,research,CC-BY,https://www.inaturalist.org/observations/67888116,https://inaturalist-open-data.s3.amazonaws.com/photos/109786966/medium.jpeg,,"",,1,0,false,,"Gunnison County, CO, USA",39.0491131326,-107.0145653186,1066,,,,1066,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
67897607,2020/08/30 12:18 PM PDT,2020-08-30,2020-08-30 19:18:00 UTC,Pacific Time (US & Canada),129985,jellyturtle,John Powers,2021-01-11 05:23:21 UTC,2022-02-25 20:25:47 UTC,research,CC-BY,https://www.inaturalist.org/observations/67897607,https://inaturalist-open-data.s3.amazonaws.com/photos/109815952/medium.jpeg,,"",,1,0,false,,"Gunnison County, CO, USA",39.0513885899,-107.0176048343,713,,,,713,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
67897609,2020/08/30 12:18 PM PDT,2020-08-30,2020-08-30 19:18:00 UTC,Pacific Time (US & Canada),129985,jellyturtle,John Powers,2021-01-11 05:23:22 UTC,2022-02-25 20:25:47 UTC,research,CC-BY,https://www.inaturalist.org/observations/67897609,https://inaturalist-open-data.s3.amazonaws.com/photos/109815988/medium.jpeg,,"",,1,0,false,,"Gunnison County, CO, USA",39.0513885899,-107.0176048343,713,,,,713,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
68301096,2020/09/05 12:05 PM PDT,2020-09-05,2020-09-05 19:05:00 UTC,Pacific Time (US & Canada),129985,jellyturtle,John Powers,2021-01-19 00:14:36 UTC,2022-02-25 20:25:47 UTC,research,CC-BY,https://www.inaturalist.org/observations/68301096,https://inaturalist-open-data.s3.amazonaws.com/photos/110555235/medium.jpeg,,"",,1,0,false,,"Gunnison County, CO, USA",39.0471046669,-107.03821112,453,,,,453,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
86626214,Sun Jul 11 2021 13:11:15 GMT-0600 (MDT),2021-07-11,2021-07-11 19:11:15 UTC,Mountain Time (US & Canada),134479,rick_williams,Rick Williams,2021-07-11 21:07:13 UTC,2021-07-14 18:11:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/86626214,https://inaturalist-open-data.s3.amazonaws.com/photos/142738717/medium.jpg,,"","",1,0,false,3,"Gunnison County, US-CO, US",38.9840115002,-107.0337936469,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
