"model","resolution","iteration","pa_ratio","dist_order","seed","cv_structure","orig_pr_auc","orig_roc_auc","n","pr_auc"
"1arc-Iteration0-PA1:1DO:0-Seed1061","1 arc-second",0,"1:1","0",1061,"spatial knndm",0.85023907762483,0.789473684210526,58,0.665343090717588
"1arc-Iteration0-PA1:2.25DO:0-Seed1032","1 arc-second",0,"1:2.25","0",1032,"spatial knndm",0.795295886788022,0.857046070460705,58,0.721153846153846
"1arc-Iteration0-PA1:2.25DO:0-Seed1033","1 arc-second",0,"1:2.25","0",1033,"spatial knndm",0.88799539179601,0.932624113475177,58,0.503094406706912
"1arc-Iteration0-PA1:2.25DO:0-Seed1034","1 arc-second",0,"1:2.25","0",1034,"spatial knndm",0.847831767066051,0.901891252955083,58,0.678218410077752
"1arc-Iteration0-PA1:2.25DO:0-Seed1035","1 arc-second",0,"1:2.25","0",1035,"spatial knndm",0.84936930166531,0.884384384384384,58,0.680201588588776
"1arc-Iteration0-PA1:2.25DO:0-Seed1036","1 arc-second",0,"1:2.25","0",1036,"spatial knndm",0.858636200279507,0.91304347826087,58,0.640304456657779
"1arc-Iteration0-PA1:2.5DO:0-Seed1016","1 arc-second",0,"1:2.5","0",1016,"spatial knndm",0.813809667094854,0.870567375886525,58,0.639582508223496
"1arc-Iteration0-PA1:2.5DO:0-Seed1017","1 arc-second",0,"1:2.5","0",1017,"spatial knndm",0.795663210230853,0.843253968253968,58,0.689274265930196
"1arc-Iteration0-PA1:2.5DO:0-Seed1018","1 arc-second",0,"1:2.5","0",1018,"spatial knndm",0.789458664505921,0.859375,58,0.639581129238085
"1arc-Iteration0-PA1:2.75DO:0-Seed1037","1 arc-second",0,"1:2.75","0",1037,"spatial knndm",0.779972630947484,0.868686868686869,58,0.725490196078431
"1arc-Iteration0-PA1:2.75DO:0-Seed1038","1 arc-second",0,"1:2.75","0",1038,"spatial knndm",0.880633278434687,0.929769392033543,58,0.598679699481285
"1arc-Iteration0-PA1:2.75DO:0-Seed1039","1 arc-second",0,"1:2.75","0",1039,"spatial knndm",0.855103068084972,0.916111111111111,58,0.591160204554172
"1arc-Iteration0-PA1:2.75DO:0-Seed1040","1 arc-second",0,"1:2.75","0",1040,"spatial knndm",0.805463199319095,0.900862068965517,58,0.67492882807566
"1arc-Iteration0-PA1:2.75DO:0-Seed1041","1 arc-second",0,"1:2.75","0",1041,"spatial knndm",0.827779689482664,0.881944444444444,58,0.726076586036141
"1arc-Iteration0-PA1:2DO:0-Seed1004","1 arc-second",0,"1:2","0",1004,"spatial knndm",0.851133193762733,0.882352941176471,58,0.690415296553404
"1arc-Iteration0-PA1:2DO:0-Seed1005","1 arc-second",0,"1:2","0",1005,"spatial knndm",0.856578462882413,0.898148148148148,58,0.525358322601716
"1arc-Iteration0-PA1:2DO:0-Seed1006","1 arc-second",0,"1:2","0",1006,"spatial knndm",0.81796784207199,0.866228070175439,58,0.653155805828189
"1arc-Iteration0-PA1:3.25DO:0-Seed1042","1 arc-second",0,"1:3.25","0",1042,"spatial knndm",0.818524280372061,0.895480225988701,58,0.656806346042581
"1arc-Iteration0-PA1:3.25DO:0-Seed1043","1 arc-second",0,"1:3.25","0",1043,"spatial knndm",0.874923564143047,0.925793650793651,58,0.525426207480846
"1arc-Iteration0-PA1:3.25DO:0-Seed1044","1 arc-second",0,"1:3.25","0",1044,"spatial knndm",0.807169481524756,0.872222222222222,58,0.665437339662209
"1arc-Iteration0-PA1:3.25DO:0-Seed1045","1 arc-second",0,"1:3.25","0",1045,"spatial knndm",0.796597254093818,0.878600823045267,58,0.674717714918338
"1arc-Iteration0-PA1:3.25DO:0-Seed1046","1 arc-second",0,"1:3.25","0",1046,"spatial knndm",0.858686158762268,0.911892361111111,58,0.546886321194788
"1arc-Iteration0-PA1:3.5DO:0-Seed1019","1 arc-second",0,"1:3.5","0",1019,"spatial knndm",0.807304300007371,0.86712962962963,58,0.698447813908172
"1arc-Iteration0-PA1:3.5DO:0-Seed1020","1 arc-second",0,"1:3.5","0",1020,"spatial knndm",0.815076564256415,0.872311827956989,58,0.593256271193495
"1arc-Iteration0-PA1:3.5DO:0-Seed1021","1 arc-second",0,"1:3.5","0",1021,"spatial knndm",0.770401139743587,0.885758998435055,58,0.643665647151692
"1arc-Iteration0-PA1:3.75DO:0-Seed1047","1 arc-second",0,"1:3.75","0",1047,"spatial knndm",0.843919643231793,0.913139329805996,58,0.563054607795889
"1arc-Iteration0-PA1:3.75DO:0-Seed1048","1 arc-second",0,"1:3.75","0",1048,"spatial knndm",0.814384713426632,0.911111111111111,58,0.547196176913365
"1arc-Iteration0-PA1:3.75DO:0-Seed1049","1 arc-second",0,"1:3.75","0",1049,"spatial knndm",0.807276184307879,0.901368760064412,58,0.721153846153846
"1arc-Iteration0-PA1:3.75DO:0-Seed1050","1 arc-second",0,"1:3.75","0",1050,"spatial knndm",0.822318308410168,0.926328502415459,58,0.539845331648558
"1arc-Iteration0-PA1:3.75DO:0-Seed1051","1 arc-second",0,"1:3.75","0",1051,"spatial knndm",0.75777125075121,0.894660894660895,58,0.638066984114329
"1arc-Iteration0-PA1:3DO:0-Seed1007","1 arc-second",0,"1:3","0",1007,"spatial knndm",0.81105497782189,0.878684807256236,58,0.568480641661076
"1arc-Iteration0-PA1:3DO:0-Seed1008","1 arc-second",0,"1:3","0",1008,"spatial knndm",0.881838560061006,0.933531746031746,58,0.558706390541641
"1arc-Iteration0-PA1:3DO:0-Seed1009","1 arc-second",0,"1:3","0",1009,"spatial knndm",0.802509739712984,0.865656565656566,58,0.697285877902898
"1arc-Iteration0-PA1:4DO:0-Seed1010","1 arc-second",0,"1:4","0",1010,"spatial knndm",0.817462378935053,0.908888888888889,58,0.640189245883878
"1arc-Iteration0-PA1:4DO:0-Seed1011","1 arc-second",0,"1:4","0",1011,"spatial knndm",0.845146313491627,0.917792792792793,58,0.566194108226545
"1arc-Iteration0-PA1:4DO:0-Seed1012","1 arc-second",0,"1:4","0",1012,"spatial knndm",0.894200181563789,0.934343434343434,58,0.53407418378802
"1arc-Iteration1-PA1:1.25DO:0-Seed1022","1 arc-second",1,"1:1.25","0",1022,"spatial knndm",0.978840556849505,0.97242134607726,58,0.664660374811941
"1arc-Iteration1-PA1:1.25DO:0-Seed1023","1 arc-second",1,"1:1.25","0",1023,"spatial knndm",0.974411018660549,0.965725806451613,58,0.636863146884846
"1arc-Iteration1-PA1:1.25DO:0-Seed1024","1 arc-second",1,"1:1.25","0",1024,"spatial knndm",0.980295284817496,0.97155017921147,58,0.66431313176536
"1arc-Iteration1-PA1:1.25DO:0-Seed1025","1 arc-second",1,"1:1.25","0",1025,"spatial knndm",0.945533807716725,0.946933492632417,58,0.53921132390955
"1arc-Iteration1-PA1:1.25DO:0-Seed1026","1 arc-second",1,"1:1.25","0",1026,"spatial knndm",0.950112400910514,0.950268817204301,58,0.523369095264272
"1arc-Iteration1-PA1:1.5DO:0-Seed1013","1 arc-second",1,"1:1.5","0",1013,"spatial knndm",0.948781741610008,0.955449420607579,58,0.590202210855229
"1arc-Iteration1-PA1:1.5DO:0-Seed1014","1 arc-second",1,"1:1.5","0",1014,"spatial knndm",0.961531207242024,0.964646464646465,58,0.485869199943883
"1arc-Iteration1-PA1:1.5DO:0-Seed1015","1 arc-second",1,"1:1.5","0",1015,"spatial knndm",0.977855466828105,0.973575840768703,58,0.657595548531676
"1arc-Iteration1-PA1:1.75DO:0-Seed1027","1 arc-second",1,"1:1.75","0",1027,"spatial knndm",0.961976487139504,0.964500316255534,58,0.514114083664492
"1arc-Iteration1-PA1:1.75DO:0-Seed1028","1 arc-second",1,"1:1.75","0",1028,"spatial knndm",0.96022403059614,0.970605969249322,58,0.591208715466625
"1arc-Iteration1-PA1:1.75DO:0-Seed1029","1 arc-second",1,"1:1.75","0",1029,"spatial knndm",0.951297623504806,0.959118492494411,58,0.548162706859967
"1arc-Iteration1-PA1:1.75DO:0-Seed1030","1 arc-second",1,"1:1.75","0",1030,"spatial knndm",0.954035727969079,0.964232377538829,58,0.673854043483603
"1arc-Iteration1-PA1:1.75DO:0-Seed1031","1 arc-second",1,"1:1.75","0",1031,"spatial knndm",0.96996761726218,0.96758064516129,58,0.620391612737012
"1arc-Iteration1-PA1:1DO:0-Seed1001","1 arc-second",1,"1:1","0",1001,"spatial knndm",0.986076293343561,0.979243786356425,58,0.626030951214727
"1arc-Iteration1-PA1:1DO:0-Seed1002","1 arc-second",1,"1:1","0",1002,"spatial knndm",0.961228455155161,0.957258064516129,58,0.533620206793457
"1arc-Iteration1-PA1:1DO:0-Seed1003","1 arc-second",1,"1:1","0",1003,"spatial knndm",0.984405187719508,0.97887323943662,58,0.640000780969379
"1arc-Iteration1-PA1:1DO:0-Seed1052","1 arc-second",1,"1:1","0",1052,"spatial knndm",0.952678561034961,0.951478494623656,58,0.509606404729391
"1arc-Iteration1-PA1:1DO:0-Seed1053","1 arc-second",1,"1:1","0",1053,"spatial knndm",0.983771492516136,0.977543424317618,58,0.656797365804415
"1arc-Iteration1-PA1:1DO:0-Seed1054","1 arc-second",1,"1:1","0",1054,"spatial knndm",0.979900079261151,0.969108802624385,58,0.630004536014787
"1arc-Iteration1-PA1:1DO:0-Seed1055","1 arc-second",1,"1:1","0",1055,"spatial knndm",0.968754362578549,0.95837669094693,58,0.615998744371129
