"resolution","cv_structure","iteration","pa_ratio","dist_order","n_seeds","n_pts","mean_pr_auc","sd_pr_auc","min_pr_auc","max_pr_auc","mean_orig_pr_auc","sd_orig_pr_auc"
"1/3 arc-second","spatial knndm",1,"1:1","0",13,305,0.478130893486312,0.01663134889648,0.452214245000645,0.499490670938795,0.550829738904793,0.0259620344400474
"1 arc-second","spatial knndm",1,"1:4","0",3,305,0.475040665104096,0.0470110807718661,0.434315158211205,0.52648583370086,0.914832224506923,0.0256281731185647
"1 arc-second","spatial knndm",1,"1:1.5","0",3,305,0.474911062384901,0.0539485233688646,0.434095159417243,0.536074255524031,0.962722805226712,0.0145734451600227
"1/3 arc-second","spatial knndm",0,"1:1.5","0",3,305,0.474793311297333,0.063658759022472,0.403878113377046,0.527005420940454,0.73656761672626,0.102499964050798
"1 arc-second","spatial knndm",0,"1:2.5","0",3,305,0.472342438792181,0.0073286823982958,0.464137888276732,0.478240152387658,0.799643847277209,0.012654127201932
"3 arc-second","spatial knndm",1,"1:1","0",23,305,0.472313448686397,0.0323531955220061,0.398632184249802,0.519135716424765,0.851462308839433,0.0835571494124677
"1 arc-second","spatial knndm",1,"1:1","0",13,305,0.469898693837749,0.0520376328864203,0.387071310020624,0.543968231441167,0.972531135920164,0.0126573580239275
"1 arc-second","spatial knndm",0,"1:2.75","0",5,305,0.468016675919663,0.0308258750179216,0.435461256381097,0.501669186372299,0.82979037325378,0.0396969621514799
"1 arc-second","spatial knndm",1,"1:1.75","0",5,305,0.466118804853662,0.0229517678170437,0.431738312154001,0.493549739028106,0.959500297294342,0.00730351744980905
"1/3 arc-second","spatial knndm",0,"1:1.25","0",15,305,0.460802920059265,0.049160498865142,0.394416780845361,0.539346037731514,0.758560477649684,0.0594443075116084
"1 arc-second","spatial knndm",0,"1:3.5","0",3,305,0.460075715651797,0.0153132656900274,0.442900988691787,0.472305560632124,0.797594001335791,0.0238681967075188
"1 arc-second","spatial knndm",0,"1:2.25","0",5,305,0.458981114838856,0.0385229347034079,0.40780556895744,0.507452802085472,0.84782570951898,0.033512068998627
"1 arc-second","spatial knndm",0,"1:2","0",3,305,0.457485649142413,0.0408699405148288,0.413441067290585,0.494184729390548,0.841893166239045,0.0208980523331828
"1 arc-second","spatial knndm",0,"1:1.25","0",5,305,0.457032616683363,0.0192171919053986,0.430548109183592,0.473951628433222,0.872139638919922,0.0472075875434492
"1 arc-second","spatial knndm",0,"1:1","0",13,305,0.455462477367251,0.0248018170248532,0.415256730456806,0.493303050417736,0.905368836999622,0.0391521906896678
"1 arc-second","spatial knndm",0,"1:3.25","0",5,305,0.451491871279109,0.0198435058891258,0.432378565346595,0.478935961306406,0.83118014777919,0.0339216992677451
"1 arc-second","classic",0,"1:3.5","0",3,305,0.450748723441949,0.0590323436763043,0.405159237020826,0.517429872814453,0.946530076491325,0.0175473268360508
"1 arc-second","spatial knndm",0,"1:3.75","0",5,305,0.450607585179481,0.0343655597250532,0.419603278531625,0.499893945490656,0.809134020025536,0.0318316683678793
"1 arc-second","spatial knndm",0,"1:1.5","0",3,305,0.44898064984295,0.0358251792257746,0.427633807131236,0.490340838644073,0.888163445724861,0.0312159740471978
"1 arc-second","classic",0,"1:2.75","0",5,305,0.44225823102041,0.0351889727314096,0.404718985871665,0.483477162053952,0.925494527398688,0.0374954845775265
"1/3 arc-second","classic",0,"1:3","0",3,305,0.442122230171962,0.0126442441995927,0.428247741862346,0.452996585194992,0.96806088706745,0.00349758653483407
"1/3 arc-second","classic",0,"1:2.5","0",3,305,0.441429906750967,0.0241741939035403,0.423573464837514,0.468939092766849,0.966067775436865,0.0111088709658964
"1/3 arc-second","classic",0,"1:4","0",3,305,0.441393458559692,0.0384355624505577,0.417665654552251,0.485738677479897,0.966021953278255,0.0280926868733099
"1 arc-second","classic",0,"1:2.5","0",3,305,0.441139273588556,0.026985474851733,0.423498001943842,0.472204122232265,0.930327484233984,0.0772959539152884
"1/3 arc-second","spatial knndm",0,"1:4","0",3,305,0.440511159429029,0.0195369233255652,0.419782696739128,0.458585092383902,0.655193496189158,0.030375268259598
"1/3 arc-second","classic",0,"1:1.75","0",5,305,0.440036010924144,0.0334765802528468,0.407139499155768,0.487755308252304,0.979811016381336,0.0157014329618918
"1 arc-second","classic",0,"1:3.75","0",5,305,0.440020510608656,0.0190416576587643,0.411893567972632,0.459502370930436,0.954114994728187,0.0203202744682743
"1 arc-second","classic",0,"1:1.5","0",3,305,0.437425657061932,0.0377949006727262,0.405125264023523,0.478991753605225,0.987747537280637,0.00745175159360833
"1/3 arc-second","classic",0,"1:2","0",3,305,0.436601753501841,0.0517904306072769,0.40621280499174,0.496401525186962,0.986160902725548,0.0158189185941628
"1 arc-second","spatial knndm",0,"1:3","0",3,305,0.436419583931619,0.0193148471489045,0.416660875790877,0.455257643814901,0.83180109253196,0.0435438444688193
"1/3 arc-second","classic",0,"1:1","0",3,305,0.434994547996986,0.0206729622917255,0.411271491713913,0.449154732345466,0.977379749777896,0.0134307332027639
"1 arc-second","classic",0,"1:3.25","0",5,305,0.434475489018912,0.026161714086505,0.41200748643572,0.479777680341598,0.910771054129557,0.0328570483932931
"1 arc-second","classic",0,"1:2","0",3,305,0.433850277408005,0.0438979537171678,0.394106052908674,0.480968082982757,0.957906765302456,0.0331788098842536
